TNT Settings,TNT-Einstellungen,
TNT Shipment,TNT-Sendung,
Submit Shipment,Sendung abschicken,
⚠️ API Actions,⚠️ API-Aktionen,
Enabled,Aktiviert,
Express Connect Shipping Endpoint,Express Connect Versand-Endpunkt,
Express Connect API Username,Express Connect API Benutzername,
Express Connect API Password,Express Connect API Passwort,
Default shipping service,Standard-Versanddienst,
TNT Account,TNT-Konto,
TNT account as supplied by your TNT representative - 9 digits for standard account and 10 digits for UK domestic, TNT-Konto wie es von Ihrem TNT-Vertreter bereitgestellt wird 9 Ziffern für Standardkonto und 10 Ziffern für UK-Inlands,
Shipping,Sendung,
Labels,Etiketten,
Express Label API Username,Express Label API Benutzername,
Express Label API Password,Express Label API Passwort,
Missing required field on Shipment: {0},Fehlendes Pflichtfeld bei Sendung: {0},
Missing required field: {0} for Address '{1}',Fehlendes Pflichtfeld: {0} für Adresse '{1}',
Missing required field: {0} for Contact '{1}',Fehlendes Pflichtfeld: {0} für Kontakt '{1}',
Missing dimensions on Parcel Item in row {0},Fehlende Abmessungen bei Paketartikel in Zeile {0},
Is Hazardous,ist gefährlich,
If this is enabled and this item is part of a shipment using TNT Express the shipment will be marked as Hazardous, Wenn dies aktiviert ist und dieser Artikel Teil einer Sendung mit TNT Express ist wird die Sendung als gefährlich markiert,
Refer to ExpressConnect Shipping Integration Guide Appendix E: VAT codes,Beziehen Sie sich auf den ExpressConnect-Versand-Integrationsleitfaden Anhang E: Mehrwertsteuercodes,
Hazardous Goods UN Number,Gefahrgut-UN-Nummer,
No Delivery Notes linked to Shipment,Keine Lieferscheine mit Sendung verknüpft,
No Parcels linked to Shipment,Keine Pakete mit Sendung verknüpft,
{0} of type {1} is not supported,{0} vom Typ {1} wird nicht unterstützt,
Show URL Decoded Data,URL-dekodierte Daten anzeigen,
TNT  Service, TNT-Dienst,
Fetch Shipping Rates, Versandkosten abrufen,
Hazardous shipments are not supported for rate calculation,Gefährliche Sendungen werden nicht für die Tarifberechnung unterstützt,
TNT Shipment already exists for Shipment {0},TNT-Sendung existiert bereits für Sendung {0},
Available Services,Verfügbare Dienste,
Product ID,Produkt-ID,
Description,Beschreibung,
Total Price,Gesamtpreis,
Price Excl VAT,Preis exkl. MwSt.,
VAT Amount,MwSt.-Betrag,
Creating Shipment,Sendung erstellen,
Shipment {0} has been created with TNT,Sendung {0} wurde mit TNT erstellt,
The TNT Express Service code e.g. <code>15N</code>. This service will be listed first.,Der TNT Express-Dienstcode z. B. <code>15N</code>. Dieser Dienst wird zuerst aufgeführt.,
Shipping is not enabled in TNT Settings,Der Versand ist in den TNT-Einstellungen nicht aktiviert.
Only applicable to TNT Shipments. Will be checked automatically if Delivery Note contains any items marked as hazardous,Nur für TNT-Sendungen anwendbar. Wird automatisch überprüft wenn der Lieferschein Artikel enthält die als gefährlich markiert sind,
Hazardous Weight (kg),Gefahrgutgewicht (kg),
Hazardous Weight can not be 0,Gefahrgutgewicht darf nicht 0 sein,
